LeadSource,JobRole,ContactNotes,LeadProfile,UsedPromo,DoNotReachOut,Region,Converted,Lead_ProspectID
Referral,Management,FeatureRequest,Small,NoPromo,FALSE,EMEA,0,b7129c97-7d53-45dc-8578-f3fd185f3392
Event,Operations,NeedsTraining,Large,UsedPromo,TRUE,LATAM,0,6116b4e0-1efa-4c94-b82f-31f3340c7909
Event,Operations,ContentPresentation,Medium,NoPromo,FALSE,APAC,1,b93d0175-5c3d-453d-afc4-c93106acf218
Organic,Engineering,NeedsCaseStudy,Large,NoPromo,FALSE,NAMER,0,18e378e6-c81a-4961-bfb0-e3b71acc7a15
Cold Uutbound,Marketing,FeatureRequest,Small,UsedPromo,FALSE,NAMER,1,49361306-2001-42f0-a851-3adc824a23b9
Digital Ad,Operations,ContentPresentation,Medium,UsedPromo,TRUE,APAC,1,3607ca01-8f5d-4bd6-8e26-649a31952bdf
Organic,Marketing,ContentPresentation,Large,NoPromo,TRUE,EMEA,1,37f10c9e-baeb-4f8c-beed-1075c40ce38b
Digital Ad,Marketing,NeedsTraining,Small,UsedPromo,FALSE,EMEA,1,db10e3d4-defa-4171-945d-5b591c21fd9e
Cold Uutbound,Operations,NeedsTraining,Medium,NoPromo,FALSE,LATAM,0,8365d912-4728-4a13-b5f2-bc4a190be727
Organic,Engineering,NeedsTraining,Small,NoPromo,TRUE,EMEA,0,31e6b252-aae7-4db4-9dd5-f0e703ac5e60
Cold Uutbound, Sales,ContentPresentation,Medium,NoPromo,FALSE,LATAM,0,b091bdf6-14c9-41c8-ab77-ac79e7e3752c
Referral,Operations,NeedsCaseStudy,Large,NoPromo,FALSE,NAMER,1,1f9c0bd2-21cd-4fee-bcb5-abc9e728d678
Cold Uutbound,Operations,FeatureRequest,Small,NoPromo,FALSE,LATAM,0,94eefb34-9fc2-40a8-9348-e60ee3cb3f70
Cold Uutbound,Marketing,NeedsCaseStudy,Large,UsedPromo,TRUE,APAC,1,60674f7c-d93e-4bc7-ba19-4edfc1832fe7
Referral,Engineering,FeatureRequest,Small,UsedPromo,FALSE,APAC,0,e7fa95b0-82f3-4739-b361-845987040812
Event, Sales,NeedsTraining,Medium,UsedPromo,FALSE,APAC,1,6f350215-560d-434e-be67-97b0eb09787d
Event,HR,NeedsTraining,Medium,NoPromo,FALSE,LATAM,0,b227f4d2-530f-4a3b-838a-4fa10ab23029
Organic,HR,ContentPresentation,Large,UsedPromo,TRUE,EMEA,0,5d5ca3a0-fca0-4b36-afde-251a26e1514d
Cold Uutbound,Management,FeatureRequest,Small,NoPromo,FALSE,EMEA,0,3f5052e9-ff60-4597-bf61-0d3561abbc69
Organic,HR,ContentPresentation,Large,UsedPromo,FALSE,EMEA,1,91f16449-5460-4f06-b619-e67b0290ea46
Cold Uutbound,Management,ContentPresentation,Large,UsedPromo,FALSE,NAMER,1,41d5c7d5-eed1-40f0-9c2f-b45f63ee92f3
Cold Uutbound,HR,FeatureRequest,Small,NoPromo,TRUE,APAC,0,ab2aeab5-fbdc-4b00-b39d-f166122a3b1d
Organic,Management,NeedsTraining,Small,UsedPromo,FALSE,EMEA,1,622fe764-f6f5-4c29-95a3-0ff28ad1f7e6
Digital Ad,HR,FeatureRequest,Medium,NoPromo,TRUE,NAMER,0,494333df-6e8c-42ef-b133-3834af510085
Cold Uutbound,Finance,ContentPresentation,Large,NoPromo,FALSE,APAC,0,c954b61a-36ff-4438-8d39-242dd226f779
Cold Uutbound, Sales,FeatureRequest,Small,UsedPromo,TRUE,EMEA,0,ca3f14a6-dfdc-49c2-a534-6d52bafdc390
Referral, Sales,ContentPresentation,Large,UsedPromo,FALSE,EMEA,1,59eacd67-755a-4272-9c67-f766be355a00
Event,Management,FeatureRequest,Small,NoPromo,TRUE,NAMER,1,3cbf0118-48fe-4cae-ab2b-e919cb97094f
Organic,Operations,NeedsCaseStudy,Small,UsedPromo,FALSE,EMEA,1,2835ca47-6a0b-4221-ba58-3a0974b2b264
Referral,Engineering,NeedsTraining,Large,NoPromo,TRUE,EMEA,0,b9da61ff-0443-4208-83fc-d7e5aa3d7739
Cold Uutbound,Finance,NeedsTraining,Large,NoPromo,FALSE,LATAM,0,7502fc03-3aa9-4cd2-a014-4322b0e982fe
Organic,Operations,NeedsTraining,Large,UsedPromo,TRUE,APAC,0,dd1e402a-e18c-4510-9de8-b3c377e53a65
Organic,HR,ContentPresentation,Large,UsedPromo,TRUE,NAMER,1,e74a95ff-5989-4498-a904-0f365321b3b3
Organic,Management,NeedsTraining,Medium,NoPromo,TRUE,APAC,1,49dc942b-cb98-498d-922f-a77b9c7f3d16
Cold Uutbound,Management,FeatureRequest,Small,NoPromo,FALSE,NAMER,0,489b129e-fba1-44fb-97fc-c444a16ba814
Event,Marketing,FeatureRequest,Small,UsedPromo,FALSE,LATAM,0,8f9ebf7a-8e7d-4244-94ba-cb4725c59c1f
Event,Operations,NeedsCaseStudy,Medium,UsedPromo,TRUE,LATAM,1,16c3a7bc-8045-4b35-aa27-95f173531801
Event,Management,ContentPresentation,Large,UsedPromo,FALSE,APAC,1,ed58b250-d0ae-413f-896c-87028edaee19
Digital Ad,Management,FeatureRequest,Small,NoPromo,FALSE,EMEA,0,a725b5c0-cc22-47b2-ad9f-ca466d5328df
Event,Engineering,ContentPresentation,Large,NoPromo,TRUE,APAC,0,d6c55bf0-59db-4793-a60f-74ff1749a753
Cold Uutbound,Marketing,NeedsTraining,Small,UsedPromo,TRUE,NAMER,1,3958230d-fd1c-4fb3-8e92-8b94c3687a62
Event, Sales,NeedsCaseStudy,Small,NoPromo,TRUE,EMEA,0,d6326d72-fa0d-4c9b-8f8f-cce25fbb0ceb
Organic, Sales,NeedsTraining,Large,UsedPromo,FALSE,NAMER,0,9bff4c13-4412-4d40-8979-4f38d3c8929c
Digital Ad,Finance,FeatureRequest,Small,NoPromo,FALSE,EMEA,0,5eb9ea28-5daa-4abc-a795-fd462e2fdae3
Cold Uutbound,Finance,ContentPresentation,Medium,UsedPromo,TRUE,APAC,1,a8a7d539-980e-4f43-a667-76c2dbbb7f21
Referral,Marketing,NeedsTraining,Large,NoPromo,FALSE,APAC,1,9f22b530-b0be-4ad0-ab63-9f00537a82d2
Cold Uutbound,Finance,FeatureRequest,Medium,NoPromo,TRUE,LATAM,0,13eff05a-4f93-4092-bd85-899b53e10369
Digital Ad,Finance,NeedsCaseStudy,Small,NoPromo,TRUE,EMEA,0,1470b64d-053f-4f21-8803-bd7f7985b3e0
Referral,Finance,FeatureRequest,Small,NoPromo,TRUE,EMEA,0,0d5a8671-37bd-494a-b87f-35d325eed485
Digital Ad,Operations,NeedsCaseStudy,Medium,UsedPromo,FALSE,LATAM,1,bc317ed0-6717-45ce-aa1d-cf9297e654d9
Event,Finance,FeatureRequest,Small,NoPromo,FALSE,LATAM,1,cc6d5128-5b97-4262-8c17-ed9b4df0501a
Cold Uutbound,Engineering,FeatureRequest,Medium,NoPromo,FALSE,LATAM,0,118fd179-8e32-45f9-aee0-6a40427bb188
Digital Ad, Sales,NeedsCaseStudy,Medium,NoPromo,FALSE,NAMER,1,b88deb34-a321-40bd-9d61-bccdd117b990
Referral,Marketing,NeedsCaseStudy,Large,NoPromo,FALSE,APAC,0,d1ec2db2-3da8-4817-9343-9614aa9e0484
Organic,Management,FeatureRequest,Small,NoPromo,TRUE,NAMER,0,7597a960-62f7-46dd-b81f-1cfb63ef4ce1
Digital Ad,Engineering,ContentPresentation,Large,NoPromo,FALSE,LATAM,0,a8ef9e41-d85e-4800-812c-f2cf5f3c3ed7
Organic,Operations,FeatureRequest,Small,UsedPromo,FALSE,APAC,0,5713006b-1cff-49d4-8e21-014fe5f99532
Event, Sales,NeedsCaseStudy,Small,UsedPromo,FALSE,NAMER,1,fb3f23ee-1e43-4654-83f3-67948973f4d3
Organic,Management,ContentPresentation,Large,UsedPromo,FALSE,NAMER,1,66e72b11-61e6-4ec2-a305-51b826e5ff19
Digital Ad,Operations,FeatureRequest,Medium,NoPromo,TRUE,EMEA,0,62de0947-bb0a-4ca4-aa18-4ff4266f2d12
Digital Ad,Marketing,NeedsTraining,Small,UsedPromo,TRUE,EMEA,1,614e548a-529a-4500-abe0-999550c5eb30
Event, Sales,NeedsCaseStudy,Medium,NoPromo,FALSE,EMEA,0,776e41ce-d6dc-4b91-8611-41663a43db37
Referral,Finance,NeedsCaseStudy,Large,NoPromo,TRUE,NAMER,1,bd1d9d11-7869-4bba-ad86-d29e3ffe2429
Cold Uutbound,Operations,FeatureRequest,Medium,NoPromo,FALSE,EMEA,0,821c5f9b-60ad-418c-a6cc-f9fa6748b4dd
Event,HR,ContentPresentation,Large,NoPromo,TRUE,NAMER,0,712cd5a1-f0f8-465d-9c8b-4a5cea089572
Event,Operations,FeatureRequest,Medium,UsedPromo,TRUE,NAMER,0,704ec3d0-9d61-4bf7-a78a-8a3f4bb193e9
Organic,Finance,NeedsCaseStudy,Large,NoPromo,FALSE,LATAM,0,9c32eace-513e-4595-9cea-62424fb4bb94
Digital Ad,Engineering,NeedsTraining,Medium,UsedPromo,FALSE,APAC,1,ceda152b-6fab-4fb8-81b4-ab8fbf34ce71
Event,Finance,NeedsCaseStudy,Small,UsedPromo,FALSE,NAMER,1,e0e49c6d-bd30-4990-bcc7-0ca808759117
Digital Ad,Management,ContentPresentation,Large,NoPromo,TRUE,LATAM,0,adf501fb-cb1e-4bd4-b4be-f6f5ecc0d9e0
Organic,Marketing,FeatureRequest,Small,NoPromo,TRUE,APAC,1,07e0c0c8-8225-446b-9d38-cdc4f72fbf09
Organic,Marketing,FeatureRequest,Medium,NoPromo,TRUE,NAMER,1,33a7ac58-49fe-4fa0-8017-0303942a518b
Organic,Finance,ContentPresentation,Large,UsedPromo,TRUE,NAMER,1,8bbc9ded-35d5-4754-8619-b210500deeb9
Digital Ad,Engineering,FeatureRequest,Medium,NoPromo,FALSE,LATAM,0,338c3229-0021-4a90-ba8c-99663ea2c3f0
Referral,Operations,NeedsTraining,Small,UsedPromo,TRUE,NAMER,1,8f84c887-8cda-4966-9fd5-74ad641d7961
Organic,Engineering,NeedsTraining,Large,UsedPromo,TRUE,EMEA,0,ff04def5-4ea9-4e55-a363-99e8bb1779c8
Referral,Finance,FeatureRequest,Medium,NoPromo,TRUE,LATAM,0,069489c0-ba00-408f-83ed-fd54df151af0
Organic,HR,FeatureRequest,Medium,NoPromo,FALSE,NAMER,0,ed364e25-73e0-4eb7-a733-51f4e4f4e8ae
Cold Uutbound,Finance,NeedsCaseStudy,Large,UsedPromo,FALSE,NAMER,0,a1005e8c-fd7f-49ef-85b7-f80b5bb14fa0
Cold Uutbound,Marketing,ContentPresentation,Large,NoPromo,FALSE,NAMER,0,122e20d8-c084-4630-89f8-530b18e87296
Event, Sales,NeedsTraining,Small,UsedPromo,FALSE,NAMER,1,185e59b0-ab24-4b8c-a7d3-ba641cd50086
Digital Ad,Marketing,FeatureRequest,Small,NoPromo,TRUE,APAC,0,a358012a-53e7-494f-86e3-5edc9557c2c1
Cold Uutbound,Engineering,FeatureRequest,Small,NoPromo,TRUE,EMEA,0,0e003380-0347-4290-b3fb-89fdefa83332
Cold Uutbound,HR,ContentPresentation,Large,NoPromo,FALSE,NAMER,0,cba0ca92-1fdc-414a-b7cc-97d62bce86c4
Referral,Engineering,NeedsCaseStudy,Large,NoPromo,TRUE,APAC,0,0ad36066-4425-425e-aab0-a9b311176f48
Event,Finance,NeedsTraining,Medium,NoPromo,FALSE,NAMER,0,8a9636dc-3138-4d0e-96ec-fbaf137531b9
Event,HR,NeedsCaseStudy,Large,UsedPromo,FALSE,NAMER,1,55191c6b-95dd-4f95-8c69-0153b087a6cb
Digital Ad,Operations,ContentPresentation,Medium,UsedPromo,TRUE,EMEA,1,ce7d6bee-3cee-4dd6-bca3-86b07db087ea
Event,Operations,NeedsCaseStudy,Medium,NoPromo,FALSE,EMEA,0,878f84b4-156f-4639-91a6-7f75cb0d957e
Organic,Operations,NeedsCaseStudy,Large,NoPromo,TRUE,EMEA,0,2d83c5f6-7ea1-447b-9d44-1a2b79ce6ea6
Event,Management,ContentPresentation,Large,UsedPromo,FALSE,NAMER,1,cd1438d1-4beb-445b-8798-9b0085a195d5
Referral,Management,NeedsCaseStudy,Large,UsedPromo,FALSE,NAMER,1,82e6e66c-dba2-4ece-8c86-334d4208d8d8
Cold Uutbound,Management,NeedsTraining,Medium,NoPromo,FALSE,LATAM,0,ae2b29ce-664b-4bcf-ac83-655947ba6bbe
Digital Ad,Engineering,NeedsTraining,Small,NoPromo,TRUE,NAMER,0,8b32454d-8e33-47e7-9599-0baf63be99d9
Cold Uutbound,Management,NeedsCaseStudy,Medium,UsedPromo,FALSE,EMEA,1,4e01f385-8a48-4835-b23f-828bc22589e7
Organic,Operations,FeatureRequest,Small,NoPromo,TRUE,NAMER,1,75c0f35b-b858-4480-95bf-8e41bdfb9d68
Cold Uutbound,HR,NeedsTraining,Small,UsedPromo,FALSE,EMEA,1,d501987a-6b53-4f01-af78-ab54bc3eeb50
Cold Uutbound,Finance,NeedsTraining,Medium,UsedPromo,TRUE,APAC,1,a5e5db11-20ca-4ac5-adab-880f73e9c665
Organic,Management,ContentPresentation,Large,NoPromo,FALSE,NAMER,0,9658a6bf-7026-442b-bc71-5d7e9de609b5
Cold Uutbound,HR,ContentPresentation,Medium,NoPromo,FALSE,LATAM,0,b8c46d75-38fb-4ca3-bd2b-24d48e6fa041
Cold Uutbound,HR,FeatureRequest,Small,UsedPromo,TRUE,EMEA,1,67c72f3d-e6cb-410c-8956-7ca9f5a31184
Organic,Management,NeedsTraining,Small,UsedPromo,FALSE,EMEA,1,d0a9dc7b-16b8-4a38-8237-9174f13b0386
Cold Uutbound,HR,NeedsCaseStudy,Large,UsedPromo,TRUE,LATAM,0,84cea073-622f-40e4-9610-cfd903d70e3a
Organic,Management,NeedsCaseStudy,Medium,NoPromo,FALSE,EMEA,1,5812ad8e-867a-4096-98c4-b636b0d1f40d
Cold Uutbound,Marketing,ContentPresentation,Large,NoPromo,TRUE,NAMER,0,da580dec-ae55-4c51-a8d8-1d432f70cdbe
Organic, Sales,FeatureRequest,Medium,NoPromo,FALSE,LATAM,0,79886aa7-01c6-4f5d-bccb-f92f3be9c819
Referral,Engineering,ContentPresentation,Medium,UsedPromo,TRUE,LATAM,1,3404b43b-7f9d-4987-b30e-efa5af24a2a0
Digital Ad, Sales,NeedsTraining,Small,UsedPromo,TRUE,NAMER,1,ab529381-7c25-4e0e-b968-207161c5d1df
Organic,HR,NeedsCaseStudy,Large,NoPromo,FALSE,EMEA,1,5e9ba7c6-0afd-441a-a84c-41df67191175
Cold Uutbound, Sales,FeatureRequest,Medium,UsedPromo,FALSE,LATAM,0,85689a00-6587-499b-bc56-059f507596d3
Organic,Operations,NeedsTraining,Small,UsedPromo,FALSE,EMEA,1,d5dc7799-6921-404c-951b-370d4097ff5a
Event, Sales,NeedsTraining,Small,UsedPromo,TRUE,LATAM,1,887835f0-2bb8-4c35-85bd-a73f6ddfcb9e
Cold Uutbound,Engineering,NeedsCaseStudy,Small,NoPromo,TRUE,EMEA,0,f4631bab-c824-4919-aef3-d482ebf88d49
Referral,HR,NeedsTraining,Medium,NoPromo,TRUE,LATAM,1,bca167f5-fbb7-41ad-8a5f-2e17877ee420
Referral,Management,NeedsTraining,Small,UsedPromo,TRUE,NAMER,1,bcae00e0-2504-4e32-b95d-8e8d0d4ab2a2
Referral,Operations,NeedsCaseStudy,Large,NoPromo,FALSE,LATAM,0,8d01fb8b-b390-4399-a248-0b5fef46262f
Organic,Finance,FeatureRequest,Small,NoPromo,TRUE,LATAM,0,74c47d93-82f7-4c62-967f-923153616e03
Organic,Engineering,NeedsCaseStudy,Small,UsedPromo,TRUE,APAC,1,a2a4ff84-f482-4a06-861b-8c6d5761a860
Digital Ad,Engineering,NeedsCaseStudy,Medium,UsedPromo,TRUE,EMEA,1,d09dbb70-8f65-4f28-9a17-740269eb6381
Digital Ad,HR,NeedsCaseStudy,Large,UsedPromo,FALSE,APAC,0,0b122da9-26ca-4417-ac8b-8362eb273049
Cold Uutbound, Sales,ContentPresentation,Large,NoPromo,TRUE,APAC,0,e42aa895-edd4-4741-958b-cf73a762b3c4
Cold Uutbound,HR,ContentPresentation,Large,NoPromo,TRUE,NAMER,0,9ab902c0-1a39-43c9-a0ce-8bf0fa8093c0
Cold Uutbound,Management,NeedsTraining,Medium,UsedPromo,FALSE,LATAM,1,8971c8b1-cd20-42ce-b981-d9070236333a
Digital Ad, Sales,FeatureRequest,Small,UsedPromo,TRUE,EMEA,0,77acd964-2d0f-400b-ab46-925a404cde6b
Organic,Marketing,NeedsCaseStudy,Large,NoPromo,FALSE,NAMER,1,c2dad4bc-59aa-4594-b367-6b37faf37d0e
Cold Uutbound,HR,NeedsCaseStudy,Medium,UsedPromo,FALSE,EMEA,1,04420d01-beb3-4ea9-b877-398bd34caac7
Event,Marketing,NeedsCaseStudy,Large,NoPromo,FALSE,EMEA,0,8254e294-1ddc-467e-bcea-2e07aef1749c
Cold Uutbound,Marketing,FeatureRequest,Large,NoPromo,FALSE,LATAM,0,bd807db3-63b4-4e66-9157-34f74db0d131
Digital Ad,Finance,NeedsTraining,Medium,UsedPromo,FALSE,NAMER,1,70fe8877-f8f4-46b0-83fc-91d07739e3a6
Event,Operations,ContentPresentation,Large,NoPromo,FALSE,NAMER,1,1624a005-f0c2-4547-b855-4a7811a5e0ce
Event,Operations,NeedsTraining,Medium,NoPromo,TRUE,APAC,1,5c322190-21aa-4d9e-a24b-b4ed41d94f09
Referral, Sales,NeedsTraining,Small,UsedPromo,FALSE,LATAM,1,fbcd8484-022a-4837-915a-e212f5d99016
Referral,HR,NeedsTraining,Medium,UsedPromo,FALSE,EMEA,1,bb9ec81f-7369-4af7-8283-a20de55ec94c
Organic,Marketing,FeatureRequest,Medium,NoPromo,TRUE,EMEA,0,65a7dc97-5855-401a-88ed-319f0d2edcac
Event,HR,ContentPresentation,Large,UsedPromo,FALSE,EMEA,1,ba997158-7454-48d7-8696-157eff3ae54b
Cold Uutbound,Operations,FeatureRequest,Small,NoPromo,TRUE,NAMER,0,9d135c51-d7ef-4bde-bcb9-69d21cf0fc18
Cold Uutbound,Marketing,NeedsTraining,Large,NoPromo,TRUE,APAC,0,645bbda8-4a3c-4600-9a59-1ffa1adadfe5
Digital Ad,Finance,ContentPresentation,Large,NoPromo,TRUE,APAC,0,4d721a43-bb55-4abd-8755-30c726498a11
Cold Uutbound,Finance,ContentPresentation,Large,UsedPromo,FALSE,APAC,1,d3713dd1-3c8e-4344-b8cd-d86115203e49
Cold Uutbound,Finance,NeedsCaseStudy,Large,NoPromo,FALSE,LATAM,0,da6a1a84-bb66-4974-8521-99b1fcb2cd25
Cold Uutbound, Sales,NeedsCaseStudy,Small,UsedPromo,TRUE,LATAM,1,d47aa381-96ca-4781-b544-97837dbbd1aa
Digital Ad,Finance,NeedsCaseStudy,Medium,UsedPromo,TRUE,LATAM,1,c0651095-fd0a-4a4f-8be2-b642b247d532
Digital Ad,Engineering,NeedsTraining,Medium,UsedPromo,FALSE,NAMER,1,d0aff402-c610-4a0a-869c-eba13722e8d9
Digital Ad, Sales,FeatureRequest,Small,UsedPromo,FALSE,NAMER,0,155256b0-3786-4dd2-8327-5f9e136bbed4
Digital Ad,Operations,FeatureRequest,Medium,NoPromo,TRUE,NAMER,0,a319a810-dab8-417b-94f8-63252b31d000
Event,Finance,ContentPresentation,Medium,UsedPromo,TRUE,APAC,1,63fa82af-f43d-4bfa-89a9-bc975faa7032
Digital Ad,HR,FeatureRequest,Small,NoPromo,FALSE,APAC,1,ce8dc041-c8b6-42a0-84f0-801abf870bf7
Organic,HR,NeedsCaseStudy,Small,UsedPromo,TRUE,APAC,1,f66f8ad1-001f-4577-812b-aaccead257fb
Digital Ad,Engineering,FeatureRequest,Small,NoPromo,FALSE,NAMER,0,c8c7a67e-83c3-4bc7-950e-0286fc5f7082
Referral,Operations,ContentPresentation,Large,UsedPromo,TRUE,NAMER,0,512b8158-76df-417a-8b37-45295527b1e3
Digital Ad,Engineering,NeedsCaseStudy,Medium,UsedPromo,FALSE,NAMER,1,2bc1e8b3-2b75-4cd4-89cf-1d919192360c
Event, Sales,NeedsTraining,Small,UsedPromo,FALSE,NAMER,1,768a4a1c-fc01-4864-a227-b4ccbf479534
Digital Ad,HR,NeedsTraining,Medium,UsedPromo,TRUE,APAC,0,e75a2cd5-78d7-4a3b-aec2-1b83bb318a01
Cold Uutbound,Operations,FeatureRequest,Medium,NoPromo,TRUE,APAC,0,d7552511-f0fa-47ae-98b9-71296f36de04
Cold Uutbound,Marketing,ContentPresentation,Medium,UsedPromo,TRUE,APAC,0,b05b98f2-823f-4481-8b03-52fc7b3dfc3d
Organic, Sales,NeedsCaseStudy,Medium,UsedPromo,FALSE,APAC,1,a0412098-5c62-4275-9d27-9ac7d01f2be1
Event,Finance,NeedsCaseStudy,Medium,UsedPromo,TRUE,EMEA,1,8bfeadb6-2e95-442d-ad02-d990610d2778
Digital Ad,Management,NeedsCaseStudy,Medium,UsedPromo,TRUE,EMEA,1,e27ab177-f3c1-4568-8751-800f9063c30d
Digital Ad,HR,FeatureRequest,Medium,NoPromo,TRUE,NAMER,0,331210fe-a013-4244-a942-fac547d8308c
Referral,Operations,NeedsTraining,Large,NoPromo,TRUE,NAMER,0,10ea112a-4102-433b-aee9-8630916b1c29
Digital Ad,Engineering,FeatureRequest,Medium,NoPromo,TRUE,EMEA,0,55357c2b-206f-45ab-b4d7-861c4d264981
Organic,HR,NeedsTraining,Large,NoPromo,FALSE,NAMER,0,b5d0c2ac-e798-4604-b65a-49f0b7e23182
Referral,HR,ContentPresentation,Large,NoPromo,FALSE,APAC,1,d22b0966-d7c3-4b1d-8ccc-be77c9210803
Organic, Sales,NeedsTraining,Large,NoPromo,TRUE,LATAM,0,45045d4e-4e3a-4796-95b2-e474958b930f
Referral, Sales,NeedsTraining,Large,UsedPromo,TRUE,NAMER,0,132ac777-7d6d-4812-8640-f1f664e044e4
Event,Engineering,NeedsCaseStudy,Medium,NoPromo,TRUE,APAC,0,f3a14387-12b1-4a04-822a-18d047371a18
Cold Uutbound, Sales,FeatureRequest,Small,UsedPromo,FALSE,LATAM,0,8ceb8004-26cc-4e63-9e9a-70880c395b38
Organic,Management,ContentPresentation,Medium,NoPromo,FALSE,APAC,0,f5d9cacf-f943-48e9-936e-28016a93b7bb
Event,Marketing,ContentPresentation,Small,NoPromo,TRUE,NAMER,1,7163cffb-0766-49b5-b553-acc87f864bcb
Organic,Management,FeatureRequest,Small,NoPromo,FALSE,APAC,0,1f22b88b-2f47-49ff-9f61-976990fec270
Digital Ad,Marketing,ContentPresentation,Large,UsedPromo,TRUE,APAC,1,5e583314-b48e-44fe-95f7-b2e9e7c5f38a
Organic,Management,NeedsTraining,Large,NoPromo,FALSE,NAMER,1,b4a4ae76-04e8-4c44-83f9-11a13a369969
Organic, Sales,NeedsTraining,Medium,UsedPromo,FALSE,APAC,1,0e0901ae-41d7-48e1-8341-4e5b583bb7ed
Cold Uutbound, Sales,NeedsCaseStudy,Medium,UsedPromo,TRUE,LATAM,1,92a3262d-153b-4930-a69f-37eeda5811c2
Cold Uutbound,Operations,ContentPresentation,Large,NoPromo,FALSE,EMEA,0,b684e8ae-12ad-47d8-ac2c-53e657118e8d
Cold Uutbound,Management,ContentPresentation,Large,UsedPromo,TRUE,NAMER,1,4d4f2c7c-749e-4281-a522-969e89d1ef0c
Referral,HR,ContentPresentation,Large,NoPromo,TRUE,APAC,1,2d2d56fb-1316-428e-8391-d802fe1f002f
Cold Uutbound,HR,NeedsCaseStudy,Large,UsedPromo,TRUE,LATAM,1,73a87887-1d5e-4d54-827f-4f15f7466265
Organic,Engineering,ContentPresentation,Small,UsedPromo,TRUE,NAMER,1,bb34adb7-65cd-4586-9a8a-58b4c050babc
Referral,Engineering,FeatureRequest,Small,NoPromo,FALSE,EMEA,0,315948bf-362c-4419-aa93-e425ee398f17
Cold Uutbound,Finance,NeedsTraining,Small,UsedPromo,TRUE,LATAM,1,5352010e-be2f-4b68-bee7-a51fe5fd755a
Event,Management,NeedsTraining,Small,UsedPromo,FALSE,APAC,1,fa7e23de-583e-45c1-9441-68f069d8d677
Event,Engineering,NeedsCaseStudy,Large,NoPromo,TRUE,NAMER,0,00b35d7b-ce6d-46be-9781-f15227706952
Organic,Management,NeedsCaseStudy,Medium,NoPromo,FALSE,LATAM,0,072b1a87-e4da-4f48-9033-1d8050373b5b
Cold Uutbound,Marketing,ContentPresentation,Large,UsedPromo,TRUE,APAC,0,68e63959-a964-497e-905c-67e3e4892098
Event,Operations,ContentPresentation,Small,NoPromo,FALSE,APAC,0,8abba62e-1828-4bdd-a19c-e20874845646
Event,HR,FeatureRequest,Medium,NoPromo,TRUE,LATAM,0,11fad9cd-f392-4ffd-8a03-dfcfeb8f485e
Cold Uutbound, Sales,NeedsCaseStudy,Large,UsedPromo,TRUE,LATAM,1,c0e04ba4-c65b-4ab1-9ab5-aad6fd3598fc
Referral,HR,ContentPresentation,Medium,UsedPromo,FALSE,EMEA,1,abc619ee-b5f9-4822-8fba-364affde678f
Event,HR,NeedsCaseStudy,Small,UsedPromo,FALSE,EMEA,1,16e6ffaf-aecb-4d73-a318-e036d83e5dd2
Digital Ad,HR,NeedsCaseStudy,Medium,UsedPromo,FALSE,EMEA,1,d12d6ce6-ff19-4cc0-8ec2-2d28de1afb62
Cold Uutbound,HR,NeedsTraining,Medium,UsedPromo,TRUE,LATAM,1,78ecc251-a7d8-4b60-ae6f-4cda48088e9d
Digital Ad,Marketing,NeedsTraining,Medium,UsedPromo,FALSE,LATAM,1,c1f7101a-6dde-4057-84fa-ab59aaacb782
Organic,Engineering,FeatureRequest,Small,NoPromo,FALSE,LATAM,1,51b05260-9d3c-4e54-8265-36d992aad8a1
Cold Uutbound,Operations,NeedsCaseStudy,Medium,NoPromo,TRUE,NAMER,1,684b25cc-3f37-4454-8c3e-f59a5a99e4d6
Organic,Operations,FeatureRequest,Small,NoPromo,TRUE,EMEA,0,1b32ffc1-5a23-4f24-ab14-8480dcf4b550
Cold Uutbound,Finance,FeatureRequest,Small,NoPromo,TRUE,APAC,0,dc3ef042-f728-4a86-9e9a-b3d6e9ec9155
Cold Uutbound, Sales,ContentPresentation,Large,NoPromo,TRUE,LATAM,0,d0106a44-6a96-4a07-a0d8-455c89eeb9e9
Cold Uutbound,Marketing,FeatureRequest,Small,UsedPromo,FALSE,LATAM,1,03fc3c7c-6c10-411d-8ff8-261a9f095e60
Event,HR,NeedsTraining,Medium,UsedPromo,TRUE,NAMER,1,612b4b27-bcd4-4c00-bfd6-e97cc4bfb97a
Organic, Sales,FeatureRequest,Small,NoPromo,FALSE,LATAM,0,3b66d0a1-6daa-4779-9875-66f553d298f2
Organic,Marketing,ContentPresentation,Large,NoPromo,FALSE,EMEA,0,20465363-f399-475d-974c-a7d2fe475ba0
Digital Ad,Finance,NeedsTraining,Large,NoPromo,TRUE,APAC,0,6025a051-fbc6-4e80-b4f5-3b989415fc72
Cold Uutbound,Management,FeatureRequest,Medium,NoPromo,FALSE,NAMER,0,98774bb3-744a-4c5e-99bb-6e04f0dc1a12
Cold Uutbound,Engineering,NeedsCaseStudy,Large,NoPromo,TRUE,APAC,0,c940803a-b89d-4a2f-a19b-af8d6cd4e084
Referral,Operations,FeatureRequest,Medium,NoPromo,TRUE,NAMER,0,6d71d7d9-5464-4d57-9cbe-1037c2a62af0
Cold Uutbound,Operations,ContentPresentation,Large,NoPromo,TRUE,EMEA,0,d21c6b3f-da61-484f-b12a-66f7c5553784
Digital Ad,Marketing,NeedsCaseStudy,Large,UsedPromo,TRUE,LATAM,1,1eda45ff-4a25-4c93-b017-7fbdf92a2cc2
